x1_rand_0_1000,cat_x1_250,x2_3x1_20perc,cat_x2_700,x3_4xsquared_50perc,cat_x3_500000,y,null_20perc
499,0,1458,0,996125,0,"36949909,4",0
108,,,,,,,1
269,,,,,,,1
66,,,,,,,1
48,1,146,1,9224,1,"29836,8",0
555,0,1605,0,1232216,0,"50894179,1",0
544,,,,,,,1
153,,,,,,,1
751,,,,,,,1
240,,,,,,,1
682,0,2058,0,1860366,0,"94503334,2",0
855,0,2521,0,2923882,0,"186529212,5",0
222,,,,,,,1
33,,,,,,,1
925,,,,,,,1
21,,,,,,,1
152,,,,,,,1
828,,,,,,,1
789,,,,,,,1
270,,,,,,,1
281,,,,,,,1
726,,,,,,,1
689,,,,,,,1
68,,,,,,,1
279,,,,,,,1
875,0,2625,0,3062847,0,"199904722,2",0
98,,,,,,,1
370,,,,,,,1
621,,,,,,,1
351,,,,,,,1
501,,,,,,,1
558,,,,,,,1
495,,,,,,,1
616,0,1868,0,1517784,0,"69577362,4",0
757,,,,,,,1
578,,,,,,,1
842,,,,,,,1
513,,,,,,,1
404,,,,,,,1
113,,,,,,,1
604,,,,,,,1
465,,,,,,,1
847,,,,,,,1
350,,,,,,,1
381,,,,,,,1
510,,,,,,,1
344,0,1072,0,473461,1,"12029784,5",0
390,0,1239,0,608219,0,"17549497,7",0
770,,,,,,,1
105,1,311,1,44082,1,"332351,5",0
209,,,,,,,1
656,,,,,,,1
804,,,,,,,1
144,,,,,,,1
648,,,,,,,1
692,,,,,,,1
67,,,,,,,1
494,,,,,,,1
222,,,,,,,1
604,,,,,,,1
276,,,,,,,1
437,,,,,,,1
22,1,69,1,1947,1,"2436,9",0
18,,,,,,,1
305,0,908,0,371958,1,"8384090,5",0
828,0,2592,0,2742547,0,"169229627,5",0
226,1,663,1,204328,1,"3395471,8",0
835,,,,,,,1
958,0,2965,0,3670864,0,262374215,0
414,,,,,,,1
900,,,,,,,1
254,,,,,,,1
992,,,,,,,1
753,,,,,,,1
552,,,,,,,1
508,0,1552,0,1032234,0,"38950436,2",0
322,0,906,0,414714,1,"9893178,6",0
370,0,1144,0,547437,0,"14988896,5",0
185,1,540,1,136938,1,"1854861,3",0
488,0,1532,0,952725,0,"34490149,3",0
577,,,,,,,1
345,,,,,,,1
319,,,,,,,1
997,,,,,,,1
666,,,,,,,1
272,,,,,,,1
729,0,2322,0,2125829,0,"115360392,8",0
660,0,2067,0,1742536,0,"85568555,8",0
349,,,,,,,1
665,0,1863,0,1768640,0,"87706597,7",0
473,,,,,,,1
621,,,,,,,1
301,,,,,,,1
207,,,,,,,1
88,,,,,,,1
37,,,,,,,1
613,,,,,,,1
895,,,,,,,1
728,,,,,,,1
36,,,,,,,1
187,,,,,,,1
47,,,,,,,1
396,,,,,,,1
226,,,,,,,1
30,,,,,,,1
371,,,,,,,1
375,,,,,,,1
108,,,,,,,1
11,,,,,,,1
726,0,2220,0,2108354,0,"114022308,2",0
401,,,,,,,1
684,,,,,,,1
251,,,,,,,1
31,,,,,,,1
134,,,,,,,1
384,,,,,,,1
967,,,,,,,1
797,,,,,,,1
997,,,,,,,1
980,,,,,,,1
214,,,,,,,1
60,,,,,,,1
502,,,,,,,1
494,,,,,,,1
731,,,,,,,1
184,,,,,,,1
804,,,,,,,1
249,,,,,,,1
743,0,2290,0,2208420,0,"122223744,1",0
781,,,,,,,1
277,,,,,,,1
99,1,288,1,39247,1,"278425,6",0
407,,,,,,,1
280,,,,,,,1
632,,,,,,,1
585,,,,,,,1
328,,,,,,,1
60,,,,,,,1
213,,,,,,,1
215,1,617,1,184891,1,"2923863,8",0
416,,,,,,,1
804,0,2442,0,2585749,0,"154981441,3",0
867,0,2522,0,3006835,0,"194542895,6",0
328,,,,,,,1
201,,,,,,,1
787,0,2514,0,2477654,0,"145216747,1",0
985,,,,,,,1
24,1,69,1,2316,1,"3426,6",0
611,0,1795,0,1493545,0,"67934688,8",0
74,,,,,,,1
123,,,,,,,1
478,,,,,,,1
112,,,,,,,1
178,,,,,,,1
907,0,2652,0,3290599,0,222765232,0
508,,,,,,,1
108,,,,,,,1
626,,,,,,,1
715,0,2019,0,2045046,0,"109046994,9",0
704,,,,,,,1
401,,,,,,,1
977,,,,,,,1
109,,,,,,,1
513,,,,,,,1
590,,,,,,,1
301,,,,,,,1
756,,,,,,,1
678,,,,,,,1
280,0,843,0,313643,1,"6474834,5",0
802,,,,,,,1
97,,,,,,,1
93,1,265,1,34642,1,"230726,3",0
80,,,,,,,1
252,,,,,,,1
978,,,,,,,1
694,0,2050,0,1926695,0,"99628784,7",0
426,,,,,,,1
212,,,,,,,1
886,,,,,,,1
217,,,,,,,1
455,0,1337,0,827900,0,"27984188,7",0
499,,,,,,,1
554,,,,,,,1
805,,,,,,,1
275,,,,,,,1
242,,,,,,,1
165,,,,,,,1
198,,,,,,,1
187,,,,,,,1
960,,,,,,,1
524,0,1649,0,1098062,0,"42729313,2",0
948,,,,,,,1
658,,,,,,,1
464,,,,,,,1
180,1,531,1,129633,1,"1706171,1",0
444,,,,,,,1
73,,,,,,,1
113,,,,,,,1
606,,,,,,,1
776,0,2351,0,2408380,0,"139321970,6",0
624,,,,,,,1
848,,,,,,,1
253,,,,,,,1
372,,,,,,,1
958,,,,,,,1
698,,,,,,,1
488,,,,,,,1
177,,,,,,,1
624,0,1936,0,1557739,0,"72297341,9",0
972,,,,,,,1
168,,,,,,,1
581,,,,,,,1
699,,,,,,,1
119,,,,,,,1
906,,,,,,,1
698,0,2231,0,1949130,0,"101219958,4",0
391,,,,,,,1
351,,,,,,,1
832,,,,,,,1
640,,,,,,,1
890,,,,,,,1
462,,,,,,,1
65,,,,,,,1
338,,,,,,,1
181,,,,,,,1
925,,,,,,,1
914,,,,,,,1
83,,,,,,,1
76,,,,,,,1
276,,,,,,,1
244,,,,,,,1
456,,,,,,,1
228,,,,,,,1
993,0,3115,0,3944039,0,292197756,0
418,,,,,,,1
459,,,,,,,1
487,0,1442,0,948488,0,"34329366,9",0
548,,,,,,,1
613,0,1744,0,1502871,0,68645899,0
742,,,,,,,1
556,,,,,,,1
131,1,394,1,68709,1,650251,0
354,0,1129,0,501365,0,"13103767,5",0
532,,,,,,,1
522,,,,,,,1
506,,,,,,,1
628,,,,,,,1
485,,,,,,,1
523,,,,,,,1
877,,,,,,,1
967,,,,,,,1
992,,,,,,,1
506,,,,,,,1
185,,,,,,,1
520,,,,,,,1
618,0,1865,0,1527855,0,"70265850,1",0
727,0,2110,0,2113898,0,"114593144,7",0
203,,,,,,,1
207,1,657,1,171314,1,"2591724,5",0
253,,,,,,,1
466,,,,,,,1
903,0,2882,0,3262059,0,"219559319,2",0
736,,,,,,,1
239,,,,,,,1
145,,,,,,,1
98,,,,,,,1
402,,,,,,,1
206,1,614,1,169758,1,"2564121,4",0
926,,,,,,,1
49,,,,,,,1
368,,,,,,,1
614,,,,,,,1
656,,,,,,,1
742,,,,,,,1
279,,,,,,,1
10,,,,,,,1
981,0,2946,0,3849211,0,"281871980,2",0
872,,,,,,,1
910,,,,,,,1
849,,,,,,,1
289,0,850,0,334064,1,"7130177,1",0
113,,,,,,,1
831,0,2371,0,2762105,0,"171308739,6",0
280,,,,,,,1
151,1,459,1,91141,1,"999863,2",0
146,,,,,,,1
885,0,2506,0,3132571,0,"207003487,4",0
736,,,,,,,1
871,,,,,,,1
21,,,,,,,1
682,0,2111,0,1860666,0,"94459172,8",0
257,,,,,,,1
773,,,,,,,1
898,,,,,,,1
183,,,,,,,1
471,0,1359,0,887169,0,31065474,0
912,,,,,,,1
870,,,,,,,1
901,,,,,,,1
828,,,,,,,1
925,,,,,,,1
591,,,,,,,1
166,1,483,1,110201,1,"1336651,1",0
232,,,,,,,1
888,,,,,,,1
684,,,,,,,1
469,0,1495,0,879941,0,"30589501,8",0
460,,,,,,,1
149,1,419,1,88801,1,"966152,6",0
439,,,,,,,1
841,,,,,,,1
831,,,,,,,1
277,,,,,,,1
182,1,545,1,132471,1,"1762412,5",0
824,0,2575,0,2716058,0,166788348,0
443,,,,,,,1
470,,,,,,,1
749,0,2128,0,2244136,0,"125375661,5",0
698,,,,,,,1
918,,,,,,,1
994,0,2786,0,3952354,0,"293475211,4",0
935,,,,,,,1
177,,,,,,,1
986,0,2967,0,3888964,0,"286203855,4",0
460,,,,,,,1
454,,,,,,,1
11,,,,,,,1
455,,,,,,,1
88,,,,,,,1
877,,,,,,,1
562,,,,,,,1
59,1,170,1,13896,1,"57223,3",0
358,0,1095,0,512507,0,"13576259,3",0
263,,,,,,,1
660,,,,,,,1
441,,,,,,,1
859,0,2683,0,2951803,0,"189007416,2",0
744,,,,,,,1
773,0,2212,0,2390182,0,"137827404,5",0
55,,,,,,,1
508,,,,,,,1
56,,,,,,,1
809,0,2387,0,2617945,0,"157964779,4",0
94,,,,,,,1
724,,,,,,,1
173,,,,,,,1
669,0,1971,0,1789971,0,"89227521,6",0
621,,,,,,,1
590,,,,,,,1
467,0,1458,0,872241,0,"30216340,2",0
4,,,,,,,1
989,,,,,,,1
518,,,,,,,1
548,,,,,,,1
514,,,,,,,1
265,,,,,,,1
436,,,,,,,1
796,,,,,,,1
492,,,,,,,1
840,,,,,,,1
66,,,,,,,1
833,0,2542,0,2775534,0,"172388061,7",0
296,0,896,0,350586,1,"7654796,2",0
579,,,,,,,1
406,,,,,,,1
662,0,2015,0,1752786,0,86398492,0
839,0,2670,0,2815279,0,"176032663,6",0
938,,,,,,,1
178,,,,,,,1
961,,,,,,,1
226,,,,,,,1
175,,,,,,,1
587,,,,,,,1
69,,,,,,,1
168,,,,,,,1
429,,,,,,,1
434,0,1291,0,753430,0,24265958,0
550,0,1616,0,1210241,0,"49511232,9",0
855,,,,,,,1
695,,,,,,,1
322,,,,,,,1
782,,,,,,,1
575,,,,,,,1
942,,,,,,,1
393,0,1186,0,617605,0,"17989978,4",0
980,,,,,,,1
483,,,,,,,1
463,0,1481,0,857491,0,29422931,0
828,0,2348,0,2742688,0,"169470713,6",0
167,,,,,,,1
533,0,1643,0,1136595,0,"44999600,8",0
248,,,,,,,1
108,,,,,,,1
111,,,,,,,1
841,,,,,,,1
668,,,,,,,1
880,,,,,,,1
941,0,2805,0,3542294,0,"248751910,7",0
375,,,,,,,1
968,,,,,,,1
69,,,,,,,1
206,1,586,1,169669,1,"2570832,5",0
191,,,,,,,1
138,,,,,,,1
859,,,,,,,1
437,,,,,,,1
140,,,,,,,1
515,,,,,,,1
957,,,,,,,1
796,,,,,,,1
321,,,,,,,1
74,,,,,,,1
623,,,,,,,1
350,,,,,,,1
378,0,1106,0,571617,0,"16015560,1",0
764,,,,,,,1
832,,,,,,,1
566,,,,,,,1
103,1,292,1,42461,1,"315011,4",0
337,,,,,,,1
988,,,,,,,1
83,,,,,,,1
710,,,,,,,1
164,,,,,,,1
653,,,,,,,1
532,,,,,,,1
575,,,,,,,1
127,,,,,,,1
802,,,,,,,1
122,,,,,,,1
214,1,669,1,183156,1,"2868906,6",0
274,,,,,,,1
229,,,,,,,1
27,,,,,,,1
721,,,,,,,1
170,1,512,1,115524,1,"1433023,6",0
879,,,,,,,1
99,,,,,,,1
971,,,,,,,1
924,,,,,,,1
2,,,,,,,1
315,,,,,,,1
401,,,,,,,1
745,,,,,,,1
290,,,,,,,1
447,,,,,,,1
300,,,,,,,1
501,,,,,,,1
291,,,,,,,1
833,,,,,,,1
122,,,,,,,1
143,,,,,,,1
770,,,,,,,1
817,,,,,,,1
542,,,,,,,1
68,,,,,,,1
856,,,,,,,1
373,,,,,,,1
582,,,,,,,1
443,,,,,,,1
235,,,,,,,1
653,,,,,,,1
423,,,,,,,1
291,,,,,,,1
936,0,2855,0,3504524,0,"244728004,2",0
729,,,,,,,1
192,,,,,,,1
642,0,2029,0,1648337,0,"78724251,9",0
675,,,,,,,1
598,,,,,,,1
340,,,,,,,1
386,0,1192,0,596058,0,"17029169,8",0
124,,,,,,,1
584,0,1832,0,1364311,0,"59218197,5",0
7,,,,,,,1
547,,,,,,,1
922,,,,,,,1
640,,,,,,,1
111,,,,,,,1
585,,,,,,,1
714,,,,,,,1
699,,,,,,,1
765,0,2182,0,2341123,0,133591025,0
985,,,,,,,1
40,,,,,,,1
144,,,,,,,1
32,,,,,,,1
817,,,,,,,1
392,,,,,,,1
654,0,1988,0,1710846,0,83298535,0
963,0,3081,0,3709843,0,"266389376,2",0
202,,,,,,,1
363,,,,,,,1
202,,,,,,,1
284,,,,,,,1
590,,,,,,,1
414,,,,,,,1
709,,,,,,,1
178,,,,,,,1
540,,,,,,,1
394,0,1228,0,621056,0,18109404,0
943,,,,,,,1
18,,,,,,,1
294,0,917,0,345601,1,"7490037,5",0
632,,,,,,,1
546,,,,,,,1
69,1,201,1,19052,1,"92377,7",0
727,,,,,,,1
117,,,,,,,1
718,,,,,,,1
692,,,,,,,1
403,,,,,,,1
8,,,,,,,1
943,,,,,,,1
735,,,,,,,1
412,,,,,,,1
448,,,,,,,1
336,0,993,0,451723,1,"11227879,3",0
448,0,1295,0,802874,0,26719500,0
277,,,,,,,1
504,,,,,,,1
657,,,,,,,1
397,,,,,,,1
756,,,,,,,1
820,,,,,,,1
727,,,,,,,1
638,0,1972,0,1628346,0,"77293299,4",0
576,,,,,,,1
444,,,,,,,1
53,,,,,,,1
577,,,,,,,1
193,,,,,,,1
189,,,,,,,1
728,,,,,,,1
774,,,,,,,1
465,,,,,,,1
770,,,,,,,1
263,,,,,,,1
223,,,,,,,1
720,0,2282,0,2073428,0,111140238,0
939,0,2775,0,3527269,0,"247193407,6",0
880,,,,,,,1
493,,,,,,,1
116,,,,,,,1
788,,,,,,,1
913,,,,,,,1
468,,,,,,,1
281,,,,,,,1
435,,,,,,,1
405,,,,,,,1
346,,,,,,,1
214,,,,,,,1
294,,,,,,,1
701,0,1977,0,1965392,0,"102756463,7",0
963,,,,,,,1
133,1,392,1,70769,1,"682135,2",0
262,,,,,,,1
773,,,,,,,1
481,,,,,,,1
437,0,1239,0,763870,0,"24805398,7",0
217,,,,,,,1
365,,,,,,,1
986,,,,,,,1
259,,,,,,,1
362,,,,,,,1
505,,,,,,,1
529,,,,,,,1
143,,,,,,,1
141,,,,,,,1
817,,,,,,,1
752,,,,,,,1
194,,,,,,,1
602,,,,,,,1
156,,,,,,,1
266,0,817,0,283044,1,"5541135,4",0
737,,,,,,,1
354,,,,,,,1
488,,,,,,,1
629,,,,,,,1
853,0,2627,0,2910747,0,185105992,0
511,,,,,,,1
596,,,,,,,1
866,0,2538,0,3000053,0,"193850285,3",0
422,,,,,,,1
280,0,878,0,313466,1,"6462769,8",0
165,1,528,1,108971,1,"1302777,8",0
194,,,,,,,1
211,,,,,,,1
211,,,,,,,1
28,,,,,,,1
810,,,,,,,1
336,,,,,,,1
453,,,,,,,1
855,,,,,,,1
326,,,,,,,1
942,,,,,,,1
759,,,,,,,1
398,,,,,,,1
769,0,2314,0,2365198,0,"135592583,3",0
266,,,,,,,1
377,,,,,,,1
457,,,,,,,1
770,0,2170,0,2371869,0,"136255306,9",0
338,0,1012,0,457031,1,"11425215,9",0
443,,,,,,,1
97,,,,,,,1
25,,,,,,,1
442,,,,,,,1
933,0,2868,0,3481842,0,"242352970,5",0
296,,,,,,,1
866,,,,,,,1
145,,,,,,,1
766,,,,,,,1
127,,,,,,,1
252,0,711,0,254134,1,"4725211,6",0
107,,,,,,,1
188,,,,,,,1
769,,,,,,,1
397,0,1243,0,630343,0,"18525256,4",0
126,,,,,,,1
117,,,,,,,1
134,,,,,,,1
712,0,2258,0,2028043,0,"107466329,9",0
861,0,2424,0,2965590,0,"190604618,1",0
756,,,,,,,1
676,,,,,,,1
724,0,2192,0,2096874,0,"113099741,8",0
472,,,,,,,1
402,,,,,,,1
971,,,,,,,1
195,,,,,,,1
970,0,3017,0,3763130,0,"272357755,2",0
58,,,,,,,1
1000,,,,,,,1
665,,,,,,,1
400,,,,,,,1
116,,,,,,,1
697,0,2110,0,1943577,0,"100886599,6",0
270,,,,,,,1
151,,,,,,,1
158,,,,,,,1
165,,,,,,,1
812,,,,,,,1
537,,,,,,,1
634,,,,,,,1
187,,,,,,,1
644,,,,,,,1
524,,,,,,,1
1,,,,,,,1
87,,,,,,,1
213,1,623,1,181474,1,"2839600,7",0
939,,,,,,,1
701,,,,,,,1
737,,,,,,,1
715,0,2252,0,2045197,0,"108847981,4",0
717,0,2268,0,2056026,0,"109757381,7",0
225,,,,,,,1
515,,,,,,,1
629,,,,,,,1
840,,,,,,,1
394,,,,,,,1
345,,,,,,,1
641,0,1996,0,1643404,0,"78379953,5",0
346,,,,,,,1
895,0,2575,0,3204291,0,"214069516,6",0
476,,,,,,,1
785,,,,,,,1
481,,,,,,,1
50,,,,,,,1
580,,,,,,,1
457,,,,,,,1
345,,,,,,,1
812,,,,,,,1
846,,,,,,,1
330,0,978,0,435437,1,"10633346,9",0
619,,,,,,,1
917,,,,,,,1
177,1,503,1,125391,1,"1625507,2",0
101,,,,,,,1
857,,,,,,,1
258,,,,,,,1
334,0,979,0,446092,1,"11030832,2",0
431,,,,,,,1
549,,,,,,,1
525,0,1479,0,1102666,0,"43083715,9",0
795,0,2324,0,2528204,0,"149910587,7",0
382,,,,,,,1
678,,,,,,,1
317,0,989,0,401892,1,"9401068,9",0
424,,,,,,,1
196,,,,,,,1
764,,,,,,,1
50,,,,,,,1
574,,,,,,,1
217,,,,,,,1
457,,,,,,,1
141,,,,,,,1
35,,,,,,,1
377,,,,,,,1
575,,,,,,,1
150,,,,,,,1
428,0,1365,0,732643,0,"23221444,9",0
714,,,,,,,1
136,,,,,,,1
803,,,,,,,1
965,,,,,,,1
23,,,,,,,1
299,0,944,0,357638,1,"7876806,3",0
42,1,127,1,7042,1,"19704,8",0
202,,,,,,,1
895,,,,,,,1
354,,,,,,,1
600,,,,,,,1
381,,,,,,,1
52,,,,,,,1
864,,,,,,,1
826,,,,,,,1
133,,,,,,,1
152,,,,,,,1
777,0,2431,0,2414965,0,"139788774,2",0
956,,,,,,,1
911,,,,,,,1
912,0,2770,0,3326592,0,"226363237,6",0
928,,,,,,,1
294,,,,,,,1
253,,,,,,,1
732,,,,,,,1
585,,,,,,,1
275,0,798,0,302608,1,"6141962,5",0
90,,,,,,,1
777,,,,,,,1
855,,,,,,,1
754,,,,,,,1
662,0,2025,0,1753295,0,"86390462,9",0
814,,,,,,,1
593,,,,,,,1
407,,,,,,,1
242,,,,,,,1
978,,,,,,,1
151,,,,,,,1
590,,,,,,,1
817,,,,,,,1
28,,,,,,,1
716,,,,,,,1
569,0,1697,0,1294945,0,"54819535,4",0
33,,,,,,,1
605,,,,,,,1
209,1,592,1,174671,1,2686173,0
593,,,,,,,1
251,0,742,0,251929,1,"4659055,4",0
438,0,1279,0,767452,0,"24957878,6",0
758,,,,,,,1
890,,,,,,,1
272,,,,,,,1
464,,,,,,,1
449,,,,,,,1
298,,,,,,,1
391,,,,,,,1
335,,,,,,,1
750,0,2400,0,2250036,0,"125635503,6",0
917,,,,,,,1
721,0,2070,0,2079093,0,"111792537,6",0
843,,,,,,,1
215,,,,,,,1
835,,,,,,,1
373,,,,,,,1
395,,,,,,,1
307,,,,,,,1
751,0,2110,0,2256172,0,"126404622,5",0
954,,,,,,,1
769,,,,,,,1
